#,R1,R2,P1,P2,P3,A,Ea,beta
1,NH3,,NH2,H,,1.40E+16,90.6,0
2,NH3,H,NH2,H2,,2.46E+13,17.071,0
3,NH3,O,NH2,OH,,1.50E+12,6.04,0
4,NH3,OH,NH2,H2O,,3.25E+12,2.12,0
5,H,NH2,NH,H2,,6.92E+13,3.65,0
6,NH2,OH,NH,H2O,,4.50E+12,2.2,0
7,NH2,O2,HNO,OH,,4.50E+12,25,0
8,O,NH2,HNO,H,,6.63E+14,0,-0.5
9,O,NH2,NH,OH,,6.75E+12,0,0
10,H,NH,N,H2,,3.00E+13,0,0
11,NH,O,NO,H,,2.00E+13,0,0
12,NH,O,N,OH,,1.00E+12,0.1,0.5
13,NH,OH,N,H2O,,5.00E+11,2,0.5
14,NH,OH,H,HNO,,2.00E+13,0,0
15,HNO,,H,NO,,1.50E+16,48.68,0
16,HNO,O,OH,NO,,1.00E+11,0,0
17,HNO,OH,NO,H2O,,3.60E+13,0,0
18,HNO,H,H2,NO,,5.00E+12,0,0
19,NH,NO,N2O,H,,4.33E+14,0,-0.5
20,N2O,O,NO,NO,,1.00E+14,28.2,0
21,N2O,O,N2,O2,,1.00E+14,28.2,0
22,N2O,,N2,O,,1.62E+14,51.6,0
23,N2O,H,N2,OH,,7.60E+13,15.2,0
24,N2O,NH,N2,HNO,,1.00E+11,3,0.5
25,N2H3,O,N2H2,OH,,5.00E+12,5,0
26,N2H3,O,NH2,HNO,,1.00E+13,0,0
27,N2H3,OH,N2H2,H2O,,1.00E+13,1,0
28,N2H3,H,NH2,NH2,,1.60E+12,0,0
29,N2H3,,N2H2,H,,3.50E+16,46,0
30,N2H3,NH,NH2,N2H2,,2.00E+13,0,0
31,N2H2,,NNH,H,,5.00E+16,50,0
32,N2H2,O,NNH,OH,,2.00E+13,1,0
33,N2H2,O,NO,NH2,,1.00E+13,0,0
34,N2H,NO,N2O,NH2,,3.00E+12,0,0
35,NH,NH2,N2H2,H,,5.00E+13,0,0
36,N2H2,OH,NNH,H2O,,1.00E+13,1,0
37,N2H2,H,NNH,H2,,1.00E+13,1,0
38,N2H2,NH,NNH,NH2,,1.00E+13,1,0
39,N2H2,NH2,NH3,NNH,,1.00E+13,1,0
40,NH2,NH2,N2H2,H2,,5.00E+11,0,0
41,NH2,NH2,N2H4,,,3.00E+20,0,-1
42,H,N2H4,H2,N2H3,,1.30E+13,2.5,0
43,NH2,N2H4,NH3,N2H3,,3.90E+12,1.5,0
44,O,N2H4,N2H2,H2O,,8.50E+13,1.2,0
45,OH,N2H4,N2H3,H2O,,5.00E+12,1,0
46,N2H3,OH,NH3,HNO,,1.00E+12,15,0
47,NH,NH,N2,H,H,2.54E+13,0,0
48,NH2,HNO,NH3,NO,,2.00E+13,1,0
49,NH,H,NH2,,,2.00E+16,0,-0.5
50,NO,NH2,HNO,NH,,1.00E+13,40,0
51,NH2,NO,NNH,OH,,8.82E+15,0,-1.25
52,NH2,NO,N2,H2O,,3.78E+15,0,-1.25
53,NH2,NO,HNNO,H,,8.00E+13,28,0
54,HNNO,H,N2O,H2,,2.00E+13,0,0
55,HNNO,O,OH,N2O,,2.00E+13,0,0
56,HNNO,OH,N2O,H2O,,2.00E+13,0,0
57,NH,O2,HNO,O,,1.00E+13,1.20E+01,0
58,NH,O2,NO,OH,,1.40E+11,2,0
59,HNO,HNO,N2O,H2O,,3.95E+12,5,0
60,HNO,NO,N2O,OH,,2.00E+12,26,0
61,HNNO,NO,HNO,N2O,,5.00E+13,5,0
62,NNH,NO,N2,HNO,,5.00E+13,0,0
63,NNH,H,N2,H2,,3.70E+13,3,0
64,NNH,O,N2,OH,,1.00E+13,5,0
65,NNH,OH,N2,H2O,,3.00E+13,0,0
66,NNH,O,N2O,H,,1.00E+13,3,0
67,OH,N2O,N2,HO2,,1.00E+12,1.00E+01,0
68,NNH,NH2,N2,NH3,,1.00E+13,0,0
69,NH2,NH2,NH3,NH,,5.00E+12,10,0
70,NNH,,N2,H,,2.00E+14,20,0
71,NNH,O2,N2,HO2,,2.00E+12,9,0
72,NO,HO2,HNO,O2,,5.00E+11,15,0
73,H,NO2,NO,OH,,3.50E+14,1.5,0
74,HO2,NO,NO2,OH,,2.11E+12,-0.479,0
75,O,NO2,NO,O2,,1.00E+13,0.6,0
76,NO2,,NO,O,,1.10E+16,66,0
77,H2,O2,OH,OH,,1.70E+09,47.78,0
78,OH,H2,H2O,H,,1.17E+09,3.626,1.3
79,H,O2,OH,O,,5.13E+16,16.507,-0.816
80,O,H2,OH,H,,1.80E+10,8.826,1
81,H,O2,HO2,,,2.10E+18,0,-1
82,,,,,,,,
83,,,,,,,,
84,OH,HO2,H2O,O2,,5.00E+13,1,0
85,H,HO2,OH,OH,,2.50E+14,1.9,0
86,O,HO2,O2,OH,,4.80E+13,1,0
87,OH,OH,O,H2O,,6.00E+08,0.00E+00,1.3
88,H2,,H,H,,2.23E+12,92.6,0.5
89,O2,,O,O,,1.85E+11,95.56,0.5
90,H,OH,H2O,,,7.50E+23,0,-2.6
91,H,HO2,H2,O2,,2.00E+13,0.7,0
92,HO2,HO2,H2O2,O2,,2.00E+12,0,0
93,H2O2,,OH,OH,,1.30E+17,45.5,0
94,H2O2,H,HO2,H2,,1.60E+12,3.8,0
95,H2O2,OH,H2O,HO2,,1.00E+13,18,0
96,O,N2,NO,N,,1.84E+14,76.25,0
97,N,O2,NO,O,,6.40E+09,6.28,1
98,H,NO,N,OH,,2.22E+14,50.5,0
